BOTTLE,20240810CCHHYDRO
320620180309  ,S04P       ,18      ,  2,2          ,2          ,2,20180325,1933, -67.6155, 173.5408,     3470,   3333.4,0.0880444444444444391,34.686442176667825,2,  34.6856,2,226.36074970858814,2, 226.1951,2,    226.3,2,    113.1,2,    32.19,2,     0.00,2,     2.24,2,    1.456,2,    0.783,2,   0.7800,2,   2261.9,2,  2358.72,2,   7.5876,2,    24.90,     -999,9,     -999,9,   0.0875,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.676,1,    0.132,1,  19.0600,2,     -999,9,20180325,1940, -67.6159, 173.5408,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,18      ,  2,1          ,1          ,2,20180325,1933, -67.6155, 173.5408,     3470,   3525.1,0.0462833333333333291,34.687660309927097,2,  34.6858,2,228.45215044868036,2, 226.5985,2,    228.3,2,    110.8,2,    32.12,2,     0.00,2,     2.25,2,    1.656,6,    0.899,6,   0.8800,6,   2260.7,6,  2360.67,2,   7.5868,2,    24.91,     40.3,2,     -999,9,   0.0459,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,    0.061,1,    4.671,1,    0.140,1,  19.0600,6,     -999,9,20180325,1933, -67.6155, 173.5408,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,36         ,36         ,2,20180326,0244, -67.2488, 174.4687,     3275,      4.3,-0.9351972222222221243,34.041298420822223,2,  34.0400,2,338.89548630052428,2, 309.0000,3,    342.1,2,     58.6,2,    26.74,2,     0.15,2,     1.77,2,    5.483,2,    3.040,2,   3.7900,2,   2193.9,6,  2307.20,2,   7.6508,2,    24.94,     -999,9,     -999,9,  -1.0925,3,1.11000000,2, -125.290,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.130,1,    4.588,1,    0.215,1,  16.1300,2,     -999,9,20180326,0431, -67.2488, 174.4689,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,35         ,35         ,2,20180326,0244, -67.2488, 174.4687,     3275,     18.9,-0.9504472222222223321,34.041727617398294,2,  34.0404,2,339.82696209624794,2, 316.0993,3,    340.4,2,     58.6,2,    26.81,2,     0.15,2,     1.79,2,     -999,9,     -999,9,     -999,9,   2192.7,2,  2308.26,2,   7.6506,6,    24.95,     -999,9,     -999,9,  -0.9465,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.142,1,    4.588,1,    0.225,1,     -999,9,     -999,9,20180326,0430, -67.2489, 174.4689,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,34         ,34         ,2,20180326,0244, -67.2488, 174.4687,     3275,     39.1,-1.0084388888888886626,34.042878976634150,2,  34.0422,2,339.81319500289243,2, 328.2960,3,    341.0,2,     57.8,2,    26.81,2,     0.15,2,     1.81,2,     -999,9,     -999,9,     -999,9,   2193.6,2,  2307.87,2,   7.6492,2,    24.94,     -999,9,     -999,9,  -1.0103,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.158,1,    4.586,1,    0.230,1,     -999,9,     -999,9,20180326,0428, -67.2490, 174.4688,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,33         ,33         ,2,20180326,0244, -67.2488, 174.4687,     3275,     64.2,-1.0824388888888887283,34.046840804527086,2,  34.0488,2,339.98463074859046,2, 370.5044,3,    339.2,2,     57.5,2,    26.98,2,     0.15,2,     1.83,2,     -999,9,     -999,9,     -999,9,   2197.8,2,  2306.49,2,   7.6487,2,    24.94,     -999,9,     -999,9,  -1.0830,2,1.12000000,2, -124.910,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.168,1,    4.585,1,    0.242,1,     -999,9,     -999,9,20180326,0426, -67.2491, 174.4687,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,32         ,32         ,2,20180326,0244, -67.2488, 174.4687,     3275,     90.4,-0.9011194444444444729,34.383778172198731,2,  34.3876,2,250.65697046499130,2, 249.6019,2,    250.7,2,     75.6,2,    31.33,2,     0.06,2,     2.16,2,     -999,9,     -999,9,     -999,9,   2235.2,2,  2325.76,2,   7.5827,2,    24.96,     -999,9,     -999,9,  -0.9043,2,0.58000000,2, -135.510,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.150,1,    4.619,1,    0.219,1,     -999,9,     -999,9,20180326,0424, -67.2492, 174.4687,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,31         ,31         ,2,20180326,0244, -67.2488, 174.4687,     3275,    114.4,0.3903611111111111587,34.534966921055236,2,  34.5483,2,215.87550135702429,3, 239.4005,3,    209.2,2,     85.5,2,    32.45,2,     0.02,2,     2.24,2,    1.555,2,    0.841,2,   0.9200,2,   2249.1,2,  2336.53,2,   7.5673,2,    24.94,     -999,9,     -999,9,   0.3858,2,0.61000000,2, -144.870,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.085,1,    4.656,1,    0.176,1,  21.0200,2,     -999,9,20180326,0422, -67.2491, 174.4687,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,30         ,30         ,2,20180326,0244, -67.2488, 174.4687,     3275,    141.5,0.9970833333333329884,34.617462880751731,2,  34.6221,2,197.01170583729871,2, 209.7997,3,    195.2,2,     89.9,2,    32.62,2,     0.01,2,     2.24,2,     -999,9,     -999,9,     -999,9,   2258.1,2,  2344.03,2,   7.5653,2,    24.94,     -999,9,     -999,9,   0.9945,2,0.52000000,2, -145.470,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.072,1,    4.657,1,    0.164,1,     -999,9,     -999,9,20180326,0420, -67.2490, 174.4688,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,29         ,29         ,2,20180326,0244, -67.2488, 174.4687,     3275,    165.1,1.2238083333333333869,34.653253386515090,2,  34.6576,2,191.66415560439029,3, 198.7989,3,    189.4,2,     91.9,2,    32.58,2,     0.01,2,     2.24,2,     -999,9,     -999,9,     -999,9,   2257.0,2,  2345.42,2,   7.5652,2,    24.94,     -999,9,     -999,9,   1.2202,2,0.52000000,2, -149.900,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.066,1,    4.664,1,    0.152,1,     -999,9,     -999,9,20180326,0418, -67.2490, 174.4688,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,28         ,28         ,2,20180326,0244, -67.2488, 174.4687,     3275,    191.1,1.3346194444444445804,34.679093740199107,2,  34.6825,2,188.38910797132843,2, 191.4054,3,    187.6,2,     94.2,2,    32.51,2,     0.00,2,     2.24,2,     -999,9,     -999,9,     -999,9,   2259.7,2,  2348.42,2,   7.5678,2,    24.94,     -999,9,     -999,9,   1.3321,2,0.36000000,3, -149.180,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.064,1,    4.668,1,    0.148,1,     -999,9,     -999,9,20180326,0417, -67.2490, 174.4688,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,27         ,27         ,2,20180326,0244, -67.2488, 174.4687,     3275,    236.5,1.4435638888888884246,34.703561344473336,2,  34.7033,2,187.12000525060537,2, 187.5036,2,    185.8,2,     95.6,2,    32.35,2,     0.00,2,     2.23,2,    0.386,2,    0.203,2,   0.2300,2,   2261.9,6,  2350.96,2,   7.5718,2,    24.95,     -999,9,     -999,9,   1.4398,2,0.57000000,2, -155.690,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.063,1,    4.671,1,    0.148,1,  20.7600,2,     -999,9,20180326,0415, -67.2490, 174.4688,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,26         ,26         ,2,20180326,0244, -67.2488, 174.4687,     3275,    286.1,1.4544916666666667382,34.715584921266007,2,  34.7145,2,187.61629009980413,3, 186.2017,2,    185.6,2,     97.1,2,    32.29,2,     0.00,2,     2.21,2,     -999,9,     -999,9,     -999,9,   2261.5,2,  2352.23,2,   7.5740,6,    24.95,     -999,9,     -999,9,   1.4532,2,0.56000000,2, -154.150,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.063,1,    4.675,1,    0.141,1,     -999,9,     -999,9,20180326,0412, -67.2491, 174.4688,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,25         ,25         ,2,20180326,0244, -67.2488, 174.4687,     3275,    338.2,1.3990194444444443711,34.717874245248574,2,  34.7170,2,186.62082984701021,2, 185.6960,2,    187.4,2,     99.2,2,    32.21,2,     0.00,2,     2.20,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.3990,2,0.52000000,2, -156.870,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.062,1,    4.675,1,    0.139,1,     -999,9,     -999,9,20180326,0410, -67.2492, 174.4687,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,24         ,24         ,2,20180326,0244, -67.2488, 174.4687,     3275,    388.1,1.3784138888888890495,34.721348721021641,2,  34.7196,2,187.22944521492937,2, 185.6982,2,    187.6,2,    100.9,2,    32.22,2,     0.00,2,     2.20,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.3761,2,0.53000000,2, -153.650,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.677,1,    0.137,1,     -999,9,     -999,9,20180326,0408, -67.2494, 174.4686,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,23         ,23         ,2,20180326,0244, -67.2488, 174.4687,     3275,    438.5,1.3679111111111115218,34.725252172159401,2,  34.7245,2,188.14686011081804,2, 186.3000,2,    188.5,2,    102.2,2,    32.14,2,     0.00,2,     2.20,2,    0.216,2,    0.109,2,   0.0400,2,   2263.2,2,  2354.90,2,   7.5796,2,    24.95,     -999,9,     -999,9,   1.3671,2,0.56000000,2, -155.890,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.678,1,    0.139,1,  20.2000,2,     -999,9,20180326,0406, -67.2495, 174.4685,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,22         ,37         ,2,20180326,0244, -67.2488, 174.4687,     3275,    490.4,1.3372444444444444578,34.725761861850827,2,  34.7247,2,188.90244993031095,2, 186.8979,2,    187.8,2,    103.7,2,    32.30,2,     0.00,2,     2.20,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.3366,2,0.56000000,2, -156.430,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.060,1,    4.677,1,    0.140,1,     -999,9,     -999,9,20180326,0404, -67.2496, 174.4684,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,21         ,21         ,2,20180326,0244, -67.2488, 174.4687,     3275,    570.4,1.2782249999999999446,34.725743541393598,2,  34.7270,2,189.82134472158120,2, 188.5979,2,    189.0,2,    105.9,2,    32.32,2,     0.00,2,     2.21,2,     -999,9,     -999,9,     -999,9,   2264.0,2,  2355.99,2,   7.5815,2,    24.95,     -999,9,     -999,9,   1.2769,2,0.57000000,2, -156.870,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.677,1,    0.137,1,     -999,9,     -999,9,20180326,0401, -67.2497, 174.4684,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,20         ,20         ,2,20180326,0244, -67.2488, 174.4687,     3275,    673.1,1.1978222222222221216,34.724106392564480,2,  34.7241,2,191.46553000645019,2, 190.4990,2,    190.6,2,    108.5,2,    32.35,2,     0.00,2,     2.22,2,    0.159,2,    0.083,2,   0.1300,2,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.1967,2,0.55000000,2, -159.210,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.678,1,    0.137,1,  20.0200,2,     -999,9,20180326,0358, -67.2497, 174.4684,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,19         ,19         ,2,20180326,0244, -67.2488, 174.4687,     3275,    775.3,1.1289888888888885976,34.722872339795096,2,  34.7221,2,193.16499325061395,2, 192.8971,2,    193.0,2,    110.7,2,    32.38,2,     0.00,2,     2.21,2,     -999,9,     -999,9,     -999,9,   2264.6,2,  2359.67,2,   7.5813,2,    24.95,     -999,9,     -999,9,   1.1278,2,0.56000000,2, -160.360,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.678,1,    0.135,1,     -999,9,     -999,9,20180326,0355, -67.2499, 174.4683,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,18         ,18         ,2,20180326,0244, -67.2488, 174.4687,     3275,    874.5,1.0710472222222220395,34.721746684258392,2,  34.7213,2,194.81890726971309,2, 194.0042,2,    194.2,2,    112.4,2,    32.42,2,     0.00,2,     2.21,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   1.0704,2,0.56000000,2, -164.110,2,    0.003,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.679,1,    0.133,1,     -999,9,     -999,9,20180326,0352, -67.2501, 174.4681,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,17         ,17         ,2,20180326,0244, -67.2488, 174.4687,     3275,    976.1,1.0109027777777779278,34.719749617265990,2,  34.7190,2,196.59473067119615,2, 195.9982,2,    195.9,2,    114.6,2,    32.49,2,     0.00,2,     2.22,2,    0.121,2,    0.061,2,   0.0800,2,   2263.9,2,  2360.20,2,   7.5888,2,    24.94,     -999,9,     -999,9,   1.0103,2,0.57000000,2, -158.910,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.062,1,    4.680,1,    0.132,1,  19.5000,2,     -999,9,20180326,0349, -67.2502, 174.4681,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,16         ,16         ,2,20180326,0244, -67.2488, 174.4687,     3275,   1077.8,0.9491388888888887543,34.717594444319005,2,  34.7170,2,198.59179705483345,2, 197.7991,2,    197.5,2,    116.4,2,    32.45,2,     0.00,2,     2.23,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   0.9485,2,0.58000000,2, -163.200,2,    0.003,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.679,1,    0.134,1,     -999,9,     -999,9,20180326,0345, -67.2502, 174.4681,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,15         ,15         ,2,20180326,0244, -67.2488, 174.4687,     3275,   1178.5,0.9047000000000000597,34.716185804074229,2,  34.7162,2,199.81658370066251,2, 198.9034,2,    199.6,2,    118.0,2,    32.53,2,     0.00,2,     2.23,2,     -999,9,     -999,9,     -999,9,   2266.3,2,  2361.76,2,   7.5900,2,    24.95,     -999,9,     -999,9,   0.9038,2,0.57000000,6, -165.285,6,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.680,1,    0.130,1,     -999,9,     -999,9,20180326,0342, -67.2502, 174.4681,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,14         ,14         ,2,20180326,0244, -67.2488, 174.4687,     3275,   1280.7,0.8544000000000001593,34.714351991342589,2,  34.7141,2,201.09895839604346,2, 200.1987,2,    200.0,2,    119.5,2,    32.55,2,     0.00,2,     2.22,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   0.8539,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.680,1,    0.137,1,     -999,9,     -999,9,20180326,0339, -67.2502, 174.4680,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,13         ,13         ,2,20180326,0244, -67.2488, 174.4687,     3275,   1381.7,0.8107138888888889561,34.712776996608603,2,  34.7127,2,202.42230028996676,2, 201.5938,2,    201.1,2,    121.0,2,    32.56,2,     0.00,2,     2.23,2,    0.115,2,    0.058,2,   0.1200,2,   2263.8,2,  2362.74,2,   7.5895,2,    24.95,     -999,9,     -999,9,   0.8100,2,0.58000000,2, -167.850,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.680,1,    0.130,1,  19.1300,2,     -999,9,20180326,0336, -67.2501, 174.4681,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,12         ,12         ,2,20180326,0244, -67.2488, 174.4687,     3275,   1482.8,0.7633416666666666961,34.710981545588247,2,  34.7111,2,203.66443668624606,2, 202.9025,2,    202.3,2,    122.4,2,    32.55,2,     0.00,2,     2.23,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   0.7627,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.680,1,    0.131,1,     -999,9,     -999,9,20180326,0333, -67.2501, 174.4681,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,11         ,11         ,2,20180326,0244, -67.2488, 174.4687,     3275,   1586.5,0.7142277777777779058,34.709260674738452,2,  34.7096,2,204.29336551511051,2, 203.6014,2,    203.8,2,    123.6,2,    32.53,2,     0.00,2,     2.23,2,     -999,9,     -999,9,     -999,9,   2265.5,2,  2363.33,2,   7.5940,6,    24.94,     -999,9,     -999,9,   0.7137,2,0.60000000,2, -165.520,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.680,1,    0.129,1,     -999,9,     -999,9,20180326,0329, -67.2499, 174.4682,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,10         ,10         ,2,20180326,0244, -67.2488, 174.4687,     3275,   1687.1,0.6731027777777779386,34.707936413287847,2,  34.7086,2,205.05179959009445,2, 204.3958,2,    204.7,2,    124.9,2,    32.65,2,     0.00,2,     2.23,2,    0.138,2,    0.079,2,   0.1200,2,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   0.6726,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.679,1,    0.129,1,  19.0200,2,     -999,9,20180326,0326, -67.2497, 174.4683,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,9          ,9          ,2,20180326,0244, -67.2488, 174.4687,     3275,   1759.3,0.6450749999999999540,34.707308961904523,2,  34.7072,2,205.47374108604012,2, 204.7948,2,    205.0,2,    126.0,2,    32.68,2,     0.00,2,     2.23,2,     -999,9,     -999,9,     -999,9,   2266.7,2,  2361.99,2,   7.5923,2,    24.94,     -999,9,     -999,9,   0.6445,2,0.61000000,2, -165.560,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.680,1,    0.128,1,     -999,9,     -999,9,20180326,0324, -67.2495, 174.4684,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
320620180309  ,S04P       ,19      ,  1,8          ,8          ,2,20180326,0244, -67.2488, 174.4687,     3275,   1962.5,0.5688222222222221180,34.705356908760187,2,  34.7053,2,207.33261771285564,2, 207.2999,2,    207.0,2,    127.6,2,    32.68,2,     0.00,2,     2.23,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,   0.5683,2,0.56000000,2, -160.840,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.061,1,    4.679,1,    0.129,1,     -999,9,     -999,9,20180326,0319, -67.2491, 174.4686,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1,     -999,1
320620180309  ,S04P       ,19      ,  1,7          ,7          ,2,20180326,0244, -67.2488, 174.4687,     3275,   2165.4,0.4902249999999999108,34.702723059438327,2,  34.7027,2,209.31227380649318,2, 209.2069,2,    209.5,2,    128.3,2,    32.60,2,     0.00,2,     2.23,2,    0.242,2,    0.131,2,   0.2400,3,   2263.6,2,  2364.89,2,   7.5932,2,    24.94,     -999,9,     -999,9,   0.4893,2,0.61000000,2, -161.360,2,    0.002,     -999,9,     -999,9,     -999,9,     -999,9,    0.060,1,    4.680,1,    0.129,1,  18.7500,2,     -999,9,20180326,0314, -67.2488, 174.4688,     -999,9,     -999,9,-999          ,9,     -999,9,     -999,9,     -999,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9
